time,P,G(i),H_sun,T2m,WS10m,Int
20150105:2202,0,0,0,19.32,1.45,0
20150105:2302,0,0,0,18.99,1.17,0
20150106:0002,0,0,0,18.72,1.17,0
20150106:0102,0,0,0,19.13,2.14,0
20150106:0202,0,0,0,18.91,3.03,0
20150106:0302,0,0,0,18.44,3.59,0
20150106:0402,28.38,14.48,2.86,18.1,3.86,0
20150106:0502,253.02,60.64,14.43,18.35,4.21,0
20150106:0602,633.84,170.62,26.49,19.04,4.28,0
20150106:0702,1598.94,332.1,38.84,20.6,3.93,0
20150106:0802,2672.64,505.89,51.26,22.07,4.55,0
20150106:0902,3633.48,672.07,63.42,23.31,5.31,0
20150106:1002,4397.76,813.4,74.21,24.25,6,0
20150106:1102,4983,923.83,78.3,24.67,6.76,0
20150106:1202,5312.52,985.43,70.73,24.73,7.38,0
20150106:1302,5404.2,999.23,59.21,24.57,7.86,0
20150106:1402,5156.28,946.23,46.89,24.12,8.14,0
20150106:1502,4629.36,840.04,34.47,23.45,8.34,0
20150106:1602,3669.72,659,22.2,22.69,8.34,0
20150106:1702,2329.2,420.2,10.29,21.81,8.14,0
20150106:1802,0,0,0,20.78,7.72,0
20150106:1902,0,0,0,20.13,7.24,0
20150106:2002,0,0,0,19.86,6.76,0
20150106:2102,0,0,0,19.57,6.14,0
20150106:2202,0,0,0,19.26,5.66,0
20150106:2302,0,0,0,18.87,5.17,0
20150107:0002,0,0,0,18.44,4.9,0
20150107:0102,0,0,0,17.84,4.48,0
20150107:0202,0,0,0,17.36,4.21,0
20150107:0302,0,0,0,16.96,3.93,0
20150107:0402,25.14,13.58,2.71,16.65,3.59,0
20150107:0502,205.8,51.59,14.28,17.44,3.03,0
20150107:0602,578.64,163.98,26.35,20.22,2.69,0
20150107:0702,1543.8,328.68,38.7,23.11,2.07,0
20150107:0802,2555.58,503.07,51.12,25.73,1.45,0
20150107:0902,3442.56,667.77,63.28,27.6,2,0
20150107:1002,4189.26,811.11,74.05,28.63,3.03,0
20150107:1102,4757.94,925.24,78.19,29.33,3.72,0
20150107:1202,5052.18,979.19,70.73,29.54,4.69,0
20150107:1302,5226.9,998.89,59.23,28.88,6.07,0
20150107:1402,5075.52,951.44,46.93,27.34,7.17,0
20150107:1502,4526.04,833.09,34.5,25.7,7.59,0
20150107:1602,3629.22,660.01,22.23,24.44,7.24,0
20150107:1702,2244.66,409.6,10.3,23.28,6.69,0
20150107:1802,0,0,0,21.99,5.93,0
20150107:1902,0,0,0,20.87,5.86,0
20150107:2002,0,0,0,20.36,5.52,0
20150107:2102,0,0,0,19.94,5.38,0
20150107:2202,0,0,0,19.54,5.31,0
20150107:2302,0,0,0,19.25,5.45,0
20150108:0002,0,0,0,19.06,5.38,0
20150108:0102,0,0,0,19.07,5.31,0
20150108:0202,0,0,0,19.03,5.17,0
20150108:0302,0,0,0,19,5.03,0
20150108:0402,3.78,7.24,2.56,18.9,4.9,0
20150108:0502,470.88,100.46,14.13,19.61,5.31,0
20150108:0602,817.56,162.38,26.2,20.8,6.07,0
20150108:0702,1597.02,329.15,38.55,21.63,6.48,0
20150108:0802,2654.76,499.3,50.98,22.3,6.83,0
20150108:0902,3622.02,664.32,63.13,22.9,6.76,0
20150108:1002,4384.8,806.04,73.89,23.72,6.62,0
20150108:1102,4955.22,916.29,78.08,24.17,6.76,0
20150108:1202,5165.58,954.79,70.71,24.08,7.38,0
20150108:1302,4281.6,784.59,59.25,23.87,8.21,0
20150108:1402,4878.42,885.85,46.95,22.85,8.76,0
20150108:1502,4186.56,751.63,34.53,21.9,8.69,0
20150108:1602,3693.66,659,22.25,21.33,8.34,0
20150108:1702,2286.24,410.8,10.31,20.63,7.79,0
20150108:1802,0,0,0,19.93,7.1,0
20150108:1902,0,0,0,19.44,6.9,0
