time,P,G(i),H_sun,T2m,WS10m,Int
20160918:0502,41.94,17.2,3.58,6.89,2.14,0
20160918:0602,305.7,67.88,15.85,8.93,1.79,0
20160918:0702,448.5,94.13,27.64,12.8,1.79,0
20160918:0802,815.76,202.07,38.44,14.52,1.66,0
20160918:0902,1764.06,354.64,47.38,16.14,1.31,0
20160918:1002,2567.58,488.11,53,17.48,0.69,0
20160918:1102,3103.5,586.46,53.68,18.26,0.34,0
20160918:1202,3449.34,643.54,49.16,18.64,1.17,0
20160918:1302,3427.86,629.96,40.88,18.66,2.28,0
20160918:1402,3123.12,567.52,30.43,18.19,3.1,0
20160918:1502,363.42,80.55,18.83,17.31,3.31,0
20160918:1602,136.8,38.01,6.64,16.19,2.97,0
20160918:1702,0,0,0,14.83,3.03,0
20160918:1802,0,0,0,13.86,2.97,0
20160918:1902,0,0,0,13.49,3.31,0
20160918:2002,0,0,0,12.74,3.1,0
20160918:2102,0,0,0,12.11,2.97,0
20160918:2202,0,0,0,11.33,2.69,0
20160918:2302,0,0,0,10.57,2.48,0
20160919:0002,0,0,0,10.06,2.21,0
20160919:0102,0,0,0,9.62,2,0
20160919:0202,0,0,0,9.58,1.79,0
20160919:0302,0,0,0,9.32,1.79,0
20160919:0402,0,0,0,9.25,1.66,0
20160919:0502,48.96,19.01,3.87,9.96,1.38,0
20160919:0602,310.62,69.69,16.15,12.07,0.76,0
20160919:0702,0,0,0,15.32,1.17,0
20160919:0802,872.82,212.24,38.79,17.46,1.93,0
20160919:0902,1819.86,363.9,47.77,18.61,2.48,0
20160919:1002,2634.18,494.77,53.4,19.31,2.97,0
20160919:1102,3207.72,592.19,54.05,19.62,3.1,0
20160919:1202,3487.8,641.42,49.46,19.82,3.1,0
20160919:1302,3469.44,636.03,41.12,19.79,3.17,0
20160919:1402,3153.3,573.75,30.62,19.2,3.59,0
20160919:1502,2373.96,431.83,18.99,18.01,3.86,0
20160919:1602,145.74,39.82,6.79,16.57,3.72,0
20160919:1702,0,0,0,14.98,3.79,0
20160919:1802,0,0,0,14.17,3.93,0
20160919:1902,0,0,0,14.04,4.14,0
20160919:2002,0,0,0,13.69,4,0
20160919:2102,0,0,0,13.38,3.93,0
20160919:2202,0,0,0,13.2,4.34,0
20160919:2302,0,0,0,12.98,4.76,0
20160920:0002,0,0,0,13.02,5.24,0
20160920:0102,0,0,0,13.12,5.52,0
20160920:0202,0,0,0,13.04,5.52,0
20160920:0302,0,0,0,12.83,5.38,0
20160920:0402,0,0,0,12.66,5.24,0
20160920:0502,48.24,19.01,4.17,12.58,5.1,0
20160920:0602,480.36,99.56,16.45,13.28,4.76,0
20160920:0702,454.14,97.33,28.28,14.56,4.83,0
20160920:0802,977.34,225.28,39.14,15.72,5.17,0
20160920:0902,1899.78,370.76,48.15,16.68,5.24,0
20160920:1002,2731.56,501.16,53.8,17.27,5.38,0
20160920:1102,3326.94,599.81,54.42,17.8,5.52,0
20160920:1202,3638.7,652.35,49.76,18,5.66,0
20160920:1302,3628.86,647.99,41.35,17.84,5.86,0
20160920:1402,3232.56,576.07,30.81,17.5,5.93,0
20160920:1502,2450.7,439.96,19.15,16.96,5.66,0
20160920:1602,141.54,38.92,6.93,16.17,5.03,0
20160920:1702,0,0,0,15.05,4.76,0
20160920:1802,0,0,0,14.33,4.69,0
20160920:1902,0,0,0,14,5.03,0
20160920:2002,0,0,0,13.77,4.83,0
20160920:2102,0,0,0,13.46,4.28,0
20160920:2202,0,0,0,13.18,3.93,0
20160920:2302,0,0,0,12.92,3.79,0
20160921:0002,0,0,0,12.64,3.52,0
20160921:0102,0,0,0,12.38,3.31,0
20160921:0202,0,0,0,12.12,3.17,0
20160921:0302,0,0,0,11.89,3.03,0
20160921:0402,0,0,0,11.53,2.76,0
20160921:0502,69.12,23.53,4.46,11.07,2.41,0
20160921:0602,325.14,72.41,16.76,12.86,2,0
20160921:0702,295.74,73.88,28.6,14.54,1.93,0
20160921:0802,908.34,219.2,39.49,15.48,1.52,0
20160921:0902,1960.38,382.1,48.53,16.38,2.07,0
20160921:1002,2739.66,508.63,54.2,16.88,2.55,0
20160921:1102,3287.28,600.64,54.79,17.13,2.76,0
20160921:1202,3304.38,599.85,50.07,17.2,3.17,0
20160921:1302,3375.12,608.57,41.59,16.98,3.52,0
20160921:1402,3303.36,593.08,31,16.52,3.59,0
20160921:1502,2473.5,445.43,19.31,15.9,3.45,0
20160921:1602,146.76,39.82,7.07,15.19,3.1,0
20160921:1702,0,0,0,14.32,2.48,0
20160921:1802,0,0,0,13.96,2.62,0
20160921:1902,0,0,0,13.82,2.69,0
20160921:2002,0,0,0,13.6,2.76,0
20160921:2102,0,0,0,13.43,2.55,0
20160921:2202,0,0,0,13.55,3.59,0
20160921:2302,0,0,0,13.6,4.76,0
20160922:0002,0,0,0,13.42,4.76,0
20160922:0102,0,0,0,13.01,4.41,0
20160922:0202,0,0,0,12.63,4.76,0
20160922:0302,0,0,0,12.23,4.83,0
20160922:0402,0,0,0,12.02,4.69,0
20160922:0502,73.02,24.44,4.76,11.98,4.34,0
20160922:0602,508.32,104.08,17.06,12.5,4.28,0
20160922:0702,0,0,0,13.7,4.9,0
20160922:0802,1458.84,288.35,39.84,14.49,5.1,0
20160922:0902,2136.6,400.06,48.91,14.75,5.03,0
20160922:1002,2805.42,505.47,54.6,14.98,5.1,0
20160922:1102,3385.92,603.27,55.16,15.06,5.1,0
20160922:1202,3653.04,647.98,50.37,15.14,5.1,0
20160922:1302,3659.1,647.3,41.82,15.25,5.24,0
20160922:1402,3109.8,548.83,31.18,15.07,5.45,0
20160922:1502,1201.32,222.1,19.46,14.65,5.59,0
20160922:1602,133.86,37.11,7.22,14.11,5.31,0
20160922:1702,0,0,0,13.3,4.9,0
20160922:1802,0,0,0,12.86,4.83,0
20160922:1902,0,0,0,12.74,5.1,0
20160922:2002,0,0,0,12.4,4.97,0
20160922:2102,0,0,0,12.17,4.69,0
20160922:2202,0,0,0,12.04,4.48,0
20160922:2302,0,0,0,11.86,4.28,0
20160923:0002,0,0,0,11.9,4.41,0
20160923:0102,0,0,0,11.72,4.48,0
20160923:0202,0,0,0,11.4,4.41,0
20160923:0302,0,0,0,11.26,4.14,0
20160923:0402,0,0,0,11.21,3.93,0
20160923:0502,77.64,25.34,5.05,10.99,3.72,0
20160923:0602,326.58,72.41,17.36,12.26,3.45,0
20160923:0702,250.98,73.74,29.24,13.68,4.28,0
20160923:0802,998.58,232.15,40.18,14.5,4.14,0
20160923:0902,1991.46,386.31,49.29,15.21,3.93,0
20160923:1002,2860.32,522.42,55,15.78,3.86,0
20160923:1102,3470.1,623.59,55.53,16.21,4.34,0
20160923:1202,3787.26,677.58,50.67,16.32,4.48,0
20160923:1302,3744,666.48,42.06,16.21,4.9,0
20160923:1402,3408.6,604.54,31.37,15.85,5.03,0
20160923:1502,2694.54,479.09,19.62,15.26,5.1,0
20160923:1602,152.04,40.73,7.36,14.5,4.83,0
20160923:1702,0,0,0,13.56,4.28,0
20160923:1802,0,0,0,12.96,4.21,0
20160923:1902,0,0,0,12.49,4.07,0
20160923:2002,0,0,0,12.14,3.66,0
20160923:2102,0,0,0,11.76,3.17,0
20160923:2202,0,0,0,11.21,2.62,0
20160923:2302,0,0,0,10.57,2.55,0
20160924:0002,0,0,0,10.03,2.48,0
20160924:0102,0,0,0,9.6,2.21,0
20160924:0202,0,0,0,10.1,1.93,0
20160924:0302,0,0,0,11,1.59,0
20160924:0402,0,0,0,12.54,1.17,0
20160924:0502,93.9,28.96,5.34,12.97,0.28,0
20160924:0602,593.76,119.47,17.66,12.81,0.83,0
20160924:0702,1058.46,200.98,29.56,14.69,1.93,0
20160924:0802,1546.26,287.45,40.53,15.49,2.14,0
20160924:0902,2120.04,389.74,49.67,16.36,2.76,0
20160924:1002,1444.14,268.23,55.4,17.05,3.24,0
20160924:1102,1256.4,235.55,55.9,17.18,3.66,0
20160924:1202,2189.04,397.02,50.97,16.62,3.79,0
20160924:1302,2632.74,474.08,42.29,16.53,3.66,0
20160924:1402,890.22,171.85,31.56,16.48,3.59,0
20160924:1502,1249.86,232.65,19.78,16.28,3.66,0
20160924:1602,169.56,44.35,7.51,15.84,3.59,0
20160924:1702,0,0,0,15.04,3.59,0
20160924:1802,0,0,0,14.44,3.72,0
20160924:1902,0,0,0,14.09,3.86,0
20160924:2002,0,0,0,13.71,4,0
20160924:2102,0,0,0,13.4,4,0
20160924:2202,0,0,0,13.13,3.86,0
20160924:2302,0,0,0,12.92,3.93,0
20160925:0002,0,0,0,12.8,4.14,0
20160925:0102,0,0,0,12.74,4.28,0
20160925:0202,0,0,0,12.71,4.14,0
20160925:0302,0,0,0,12.6,3.93,0
20160925:0402,0,0,0,12.34,3.52,0
20160925:0502,90.12,28.06,5.64,12.09,3.1,0
20160925:0602,375.42,81.46,17.96,13.45,2.76,0
20160925:0702,330.18,93.81,29.88,14.67,2.97,0
20160925:0802,1094.82,248.47,40.88,16.74,3.03,0
20160925:0902,2099.46,406.65,50.05,18.78,3.03,0
20160925:1002,2871,537.95,55.8,20.69,3.17,0
20160925:1102,3411.24,635.41,56.27,22.08,3.17,0
20160925:1202,3736.74,696.14,51.27,23,3.38,0
20160925:1302,3680.64,685.88,42.52,23.44,3.38,0
20160925:1402,3333.48,620.1,31.74,23.53,3.31,0
20160925:1502,2556.78,475.09,19.94,23.04,3.45,0
20160925:1602,159.84,43.44,7.65,21.65,3.45,0
20160925:1702,0,0,0,19.73,3.31,0
20160925:1802,0,0,0,18.41,3.17,0
20160925:1902,0,0,0,16.5,2.76,0
20160925:2002,0,0,0,15.39,2.83,0
20160925:2102,0,0,0,14.11,2.41,0
20160925:2202,0,0,0,12.83,1.93,0
20160925:2302,0,0,0,12.12,1.66,0
20160926:0002,0,0,0,12.07,1.52,0
20160926:0102,0,0,0,10.9,2.21,0
20160926:0202,0,0,0,11.48,3.24,0
20160926:0302,0,0,0,12.75,4.69,0
20160926:0402,0,0,0,13.25,5.66,0
20160926:0502,64.14,22.63,5.93,13.34,6.07,0
20160926:0602,391.02,84.17,18.26,14.01,6.9,0
20160926:0702,938.28,178.23,30.19,14.73,7.52,0
20160926:0802,1199.28,222.68,41.22,15.48,7.86,0
20160926:0902,1848.36,334.65,50.43,16.46,8.14,0
20160926:1002,1060.26,200.55,56.2,17.3,8.28,0
20160926:1102,732.48,144.73,56.64,17.48,8.14,0
20160926:1202,622.68,125.82,51.57,17.43,8.07,0
20160926:1302,755.28,148.52,42.75,17.21,7.79,0
20160926:1402,847.56,163.97,31.93,16.67,7.24,0
20160926:1502,250.56,59.6,20.09,16.19,6.69,0
20160926:1602,25.32,13.58,7.8,15.71,5.79,0
20160926:1702,0,0,0,15.2,5.93,0
20160926:1802,0,0,0,15.03,6.21,0
20160926:1902,0,0,0,14.68,7.31,0
20160926:2002,0,0,0,14.41,7.31,0
20160926:2102,0,0,0,14.16,7.17,0
20160926:2202,0,0,0,13.88,6.34,0
20160926:2302,0,0,0,13.63,5.79,0
20160927:0002,0,0,0,13.43,5.03,0
20160927:0102,0,0,0,13.12,5.03,0
20160927:0202,0,0,0,13.25,4.97,0
20160927:0302,0,0,0,13.46,5.1,0
20160927:0402,0,0,0,13.41,4.97,0
20160927:0502,125.34,35.3,6.22,13.17,4.9,0
20160927:0602,629.64,124.9,18.56,12.89,5.17,0
20160927:0702,852.9,163.5,30.51,13.94,5.03,0
20160927:0802,697.2,137.17,41.56,14.44,5.66,0
20160927:0902,699.54,137.17,50.81,13.86,6.21,0
20160927:1002,2380.44,422.39,56.6,13.58,6.34,0
20160927:1102,1694.16,305.38,57.01,14.03,5.93,0
20160927:1202,1788.18,321.16,51.87,13.81,5.59,0
20160927:1302,2114.22,376.74,42.98,14.22,5.45,0
20160927:1402,3352.26,587.04,32.11,13.76,5.45,0
20160927:1502,2612.88,459.76,20.25,13.67,5.38,0
20160927:1602,200.76,49.78,7.94,13.25,4.83,0
20160927:1702,0,0,0,12.45,3.93,0
20160927:1802,0,0,0,12.04,3.24,0
20160927:1902,0,0,0,11.83,3.17,0
20160927:2002,0,0,0,11.33,2.48,0
20160927:2102,0,0,0,10.96,2.28,0
20160927:2202,0,0,0,10.66,2.48,0
20160927:2302,0,0,0,10.49,2.76,0
20160928:0002,0,0,0,10.28,2.9,0
20160928:0102,0,0,0,10.14,2.97,0
20160928:0202,0,0,0,10.09,2.97,0
20160928:0302,0,0,0,10,2.97,0
20160928:0402,0,0,0,9.63,2.83,0
20160928:0502,109.26,31.68,6.51,9.61,2.83,0
20160928:0602,354.24,76.93,18.86,11.02,3.17,0
20160928:0702,937.32,190.54,30.82,12.64,3.79,0
20160928:0802,1460.58,294.93,41.9,13.9,4.62,0
20160928:0902,2349.6,433.47,51.19,14.78,5.66,0
20160928:1002,3030.84,542.06,57,15.05,6,0
20160928:1102,3631.14,642.9,57.38,15.24,6.07,0
20160928:1202,3143.52,557.34,52.16,15.41,6.07,0
20160928:1302,938.76,178.79,43.21,15.43,6.07,0
20160928:1402,1761.36,316.86,32.3,15.19,6.07,0
20160928:1502,1689.96,303.96,20.41,14.87,5.79,0
20160928:1602,204.42,50.68,8.09,14.36,4.69,0
20160928:1702,0,0,0,13.82,4.28,0
20160928:1802,0,0,0,13.55,3.79,0
20160928:1902,0,0,0,13.1,3.17,0
20160928:2002,0,0,0,12.74,2.9,0
20160928:2102,0,0,0,12.34,2.69,0
20160928:2202,0,0,0,12.19,2.48,0
20160928:2302,0,0,0,11.95,2.07,0
20160929:0002,0,0,0,11.43,1.86,0
20160929:0102,0,0,0,10.95,1.79,0
20160929:0202,0,0,0,10.14,1.86,0
20160929:0302,0,0,0,10.09,1.79,0
20160929:0402,0,0,0,9.8,1.59,0
20160929:0502,117.96,33.49,6.8,10.17,1.52,0
20160929:0602,434.4,91.41,19.15,12.12,1.79,0
20160929:0702,1189.56,224.21,31.13,13.84,2.14,0
20160929:0802,1460.04,269.99,42.24,14.75,2.21,0
20160929:0902,1654.92,303.87,51.56,15.38,2.41,0
20160929:1002,1184.82,222.31,57.4,15.91,2.97,0
20160929:1102,3355.98,606.48,57.75,16.18,3.52,0
20160929:1202,3449.64,620.6,52.46,16.05,3.66,0
20160929:1302,1609.56,295.28,43.44,16.07,3.31,0
20160929:1402,3016.98,538.12,32.48,15.89,3.86,0
20160929:1502,2111.04,378.09,20.57,15.29,3.93,0
20160929:1602,138,38.01,8.24,14.62,3.72,0
20160929:1702,0,0,0,13.85,3.59,0
20160929:1802,0,0,0,13.23,3.59,0
20160929:1902,0,0,0,12.94,3.38,0
20160929:2002,0,0,0,12.53,3.38,0
20160929:2102,0,0,0,12.33,3.38,0
20160929:2202,0,0,0,12.24,3.24,0
20160929:2302,0,0,0,12.17,3.24,0
20160930:0002,0,0,0,12.07,3.1,0
20160930:0102,0,0,0,11.81,2.97,0
20160930:0202,0,0,0,11.48,3.31,0
20160930:0302,0,0,0,11.27,3.72,0
20160930:0402,0,0,0,11.22,3.66,0
20160930:0502,159.3,41.63,7.08,11.21,3.17,0
20160930:0602,479.64,99.56,19.45,13.22,3.1,0
20160930:0702,1086.54,216.13,31.44,14.85,3.38,0
20160930:0802,1359.84,286.84,42.58,15.74,3.86,0
20160930:0902,2323.98,437.51,51.94,16.43,3.93,0
20160930:1002,3129.54,569.2,57.79,16.84,4.07,0
20160930:1102,3710.28,668.76,58.11,17.08,4.21,0
20160930:1202,4050.84,728.85,52.75,17.11,4.21,0
20160930:1302,4007.4,719.59,43.67,16.93,4.14,0
20160930:1402,3648.3,652.42,32.66,16.58,4.07,0
20160930:1502,2820.48,504.28,20.73,16.07,3.79,0
20160930:1602,188.76,47.97,8.38,15.45,3.24,0
20160930:1702,0,0,0,14.51,2.34,0
20160930:1802,0,0,0,13.8,1.86,0
20160930:1902,0,0,0,12.77,1.72,0
20160930:2002,0,0,0,13.35,1.1,0
20160930:2102,0,0,0,13.86,0.41,0
20160930:2202,0,0,0,13.64,0.21,0
20160930:2302,0,0,0,13.55,0.41,0
20161001:0002,0,0,0,13.36,0.62,0
20161001:0102,0,0,0,12.12,2.48,0
20161001:0202,0,0,0,12.69,3.66,0
20161001:0302,0,0,0,13.12,4.14,0
20161001:0402,0,0,0,13.23,4.21,0
20161001:0502,171.72,44.35,7.37,13.45,3.93,0
20161001:0602,651.6,129.42,19.74,14.07,4,0
20161001:0702,760.56,171.72,31.75,15.17,4.76,0
20161001:0802,1382.88,290.86,42.92,15.94,4.69,0
20161001:0902,2466.72,450.93,52.31,16.57,4.83,0
20161001:1002,3171.6,574.13,58.19,17.11,5.03,0
20161001:1102,3735.12,670.21,58.48,17.44,5.24,0
20161001:1202,3925.02,701.83,53.04,17.46,5.59,0
20161001:1302,3925.86,699.07,43.89,17.35,5.86,0
20161001:1402,3529.92,626.56,32.84,17.09,5.79,0
20161001:1502,2771.7,492.58,20.88,16.72,5.79,0
20161001:1602,174.24,45.25,8.53,16.02,5.45,0
20161001:1702,0,0,0,14.99,5.03,0
20161001:1802,0,0,0,14.36,4.83,0
20161001:1902,0,0,0,14.2,4.97,0
20161001:2002,0,0,0,13.99,4.83,0
20161001:2102,0,0,0,13.75,4.62,0
20161001:2202,0,0,0,13.4,4.14,0
20161001:2302,0,0,0,13.09,3.79,0
20161002:0002,0,0,0,12.85,3.79,0
20161002:0102,0,0,0,12.63,3.79,0
20161002:0202,0,0,0,12.32,3.72,0
20161002:0302,0,0,0,12.01,3.72,0
20161002:0402,0,0,0,11.8,3.72,0
20161002:0502,149.34,39.82,7.65,11.89,3.86,0
20161002:0602,391.74,84.17,20.03,13.32,4.48,0
20161002:0702,450,130.54,32.06,15.53,4.97,0
20161002:0802,1376.4,292.38,43.25,17.23,5.17,0
20161002:0902,2383.92,449.59,52.68,18.75,5.24,0
20161002:1002,3164.04,581.43,58.59,20.04,4.69,0
20161002:1102,3642.36,669.18,58.85,21.14,4.34,0
20161002:1202,3663.54,675.32,53.33,21.96,4.28,0
20161002:1302,3772.02,696.49,44.12,22.45,4,0
20161002:1402,3450.96,635.79,33.02,22.71,4,0
20161002:1502,2668.74,489.83,21.04,22.29,4.41,0
20161002:1602,188.34,48.87,8.68,20.84,4.83,0
20161002:1702,0,0,0,18.97,5.17,0
20161002:1802,0,0,0,17.8,4.97,0
20161002:1902,0,0,0,16.65,4.14,0
20161002:2002,0,0,0,15.89,3.86,0
20161002:2102,0,0,0,14.84,3.52,0
20161002:2202,0,0,0,13.72,3.24,0
20161002:2302,0,0,0,12.77,3.17,0
20161003:0002,0,0,0,11.95,3.1,0
20161003:0102,0,0,0,11.21,2.97,0
20161003:0202,0,0,0,10.55,2.69,0
20161003:0302,0,0,0,9.98,2.62,0
20161003:0402,0,0,0,9.52,2.69,0
20161003:0502,160.5,41.63,7.93,9.68,2.55,0
20161003:0602,479.16,99.56,20.31,13.08,1.93,0
20161003:0702,503.46,141.06,32.36,17.47,1.38,0
20161003:0802,1373.52,298.4,43.58,20.51,1.03,0
20161003:0902,2305.56,456.04,53.05,22.63,0.41,0
20161003:1002,3045.9,588.89,58.98,23.88,0.83,0
20161003:1102,3576.84,680.93,59.21,24.27,2,0
20161003:1202,3808.74,720.14,53.62,24.1,2.55,0
20161003:1302,3784.56,710.12,44.34,23.87,2.97,0
20161003:1402,3431.76,637.61,33.21,23.4,3.31,0
20161003:1502,2679,494.7,21.2,22.58,3.45,0
20161003:1602,225.18,56.11,8.83,21.38,3.52,0
20161003:1702,0,0,0,19.78,3.93,0
20161003:1802,0,0,0,18.9,3.93,0
20161003:1902,0,0,0,18.64,3.72,0
20161003:2002,0,0,0,18.1,3.59,0
20161003:2102,0,0,0,17.11,3.31,0
20161003:2202,0,0,0,15.6,2.9,0
20161003:2302,0,0,0,13.99,2.69,0
20161004:0002,0,0,0,12.64,2.55,0
20161004:0102,0,0,0,11.7,2.21,0
20161004:0202,0,0,0,11.1,1.93,0
20161004:0302,0,0,0,10.55,2.07,0
20161004:0402,0,0,0,9.91,2.21,0
20161004:0502,164.7,42.54,8.21,10.32,1.79,0
20161004:0602,412.92,88.7,20.6,14.73,1.1,0
20161004:0702,1126.44,232.17,32.66,20.2,0.69,0
20161004:0802,1446.54,312.27,43.91,23.05,0.21,0
20161004:0902,2336.34,462.4,53.42,24.48,1.1,0
20161004:1002,3077.7,592.12,59.38,25.14,1.72,0
20161004:1102,3600.84,689.66,59.58,25.61,2.07,0
20161004:1202,3813.24,728.52,53.91,25.83,2.41,0
20161004:1302,3816.3,723.79,44.56,25.65,2.83,0
20161004:1402,3450.78,646.96,33.39,24.86,3.1,0
20161004:1502,2734.86,507.69,21.36,23.49,3.24,0
20161004:1602,178.14,47.06,8.98,21.64,3.1,0
20161004:1702,0,0,0,19.4,3.24,0
20161004:1802,0,0,0,17.76,3.31,0
20161004:1902,0,0,0,17.06,3.66,0
20161004:2002,0,0,0,16.14,3.79,0
20161004:2102,0,0,0,15.51,3.93,0
20161004:2202,0,0,0,15.09,4,0
20161004:2302,0,0,0,14.82,4.14,0
20161005:0002,0,0,0,14.54,4.28,0
20161005:0102,0,0,0,14.58,4.14,0
20161005:0202,0,0,0,14.46,3.93,0
20161005:0302,0,0,0,14.24,3.86,0
20161005:0402,0,0,0,14.07,4.07,0
20161005:0502,194.88,48.87,8.49,14.23,4.07,0
20161005:0602,715.26,141.19,20.88,15.56,3.93,0
20161005:0702,967.8,208.34,32.96,16.85,2.28,0
20161005:0802,1630.14,330.59,44.23,18.14,1.66,0
20161005:0902,2509.8,474.9,53.78,19.33,1.72,0
20161005:1002,3221.46,597.59,59.77,20.09,2.97,0
20161005:1102,3762.24,687.6,59.94,20.09,4.34,0
20161005:1202,3859.02,700.64,54.2,19.54,4.83,0
20161005:1302,3882.72,701.63,44.78,19.28,4.97,0
20161005:1402,3509.94,629.93,33.57,18.88,5.24,0
20161005:1502,2846.88,509.37,21.52,18.13,5.31,0
20161005:1602,191.88,48.87,9.13,17.28,4.97,0
20161005:1702,0,0,0,16.32,4.21,0
20161005:1802,0,0,0,15.54,3.79,0
20161005:1902,0,0,0,15.01,3.52,0
20161005:2002,0,0,0,14.63,3.24,0
20161005:2102,0,0,0,14.48,3.1,0
20161005:2202,0,0,0,14.24,2.76,0
20161005:2302,0,0,0,13.99,2.55,0
20161006:0002,0,0,0,13.75,2.34,0
20161006:0102,0,0,0,13.65,2.34,0
20161006:0202,0,0,0,13.72,2.83,0
20161006:0302,0,0,0,13.78,3.72,0
20161006:0402,0,0,0,13.8,4.41,0
20161006:0502,190.38,47.97,8.76,13.96,4.41,0
20161006:0602,671.4,133.04,21.16,14.62,4.41,0
20161006:0702,1308.48,245.12,33.25,14.9,4.9,0
20161006:0802,1625.34,296.46,44.56,15.39,6,0
20161006:0902,2551.5,457.84,54.14,15.43,6.97,0
20161006:1002,3015.9,536.28,60.16,15.59,7.31,0
20161006:1102,3005.52,533.01,60.3,15.63,7.31,0
20161006:1202,2807.04,496.92,54.48,15.39,7.24,0
20161006:1302,2182.5,388.15,45,15,7.1,0
20161006:1402,2226.06,393.39,33.75,14.6,6.9,0
20161006:1502,2865.66,500.63,21.68,14.24,6.76,0
20161006:1602,244.74,57.92,9.29,13.5,6.14,0
20161006:1702,0,0,0,12.91,5.52,0
20161006:1802,0,0,0,12.57,5.17,0
20161006:1902,0,0,0,12.63,4.97,0
20161006:2002,0,0,0,12.44,4.83,0
20161006:2102,0,0,0,12.3,4.69,0
20161006:2202,0,0,0,12.23,4.41,0
20161006:2302,0,0,0,12.17,4.14,0
20161007:0002,0,0,0,12.12,4,0
20161007:0102,0,0,0,12.14,4,0
20161007:0202,0,0,0,12.13,3.79,0
20161007:0302,0,0,0,12,3.52,0
20161007:0402,0,0,0,11.93,3.17,0
20161007:0502,177.78,45.25,9.04,11.86,2.69,0
20161007:0602,589.68,118.56,21.44,13.19,2.69,0
20161007:0702,1186.98,237.9,33.54,14.55,4.41,0
20161007:0802,1647.12,329.7,44.88,14.98,4.55,0
20161007:0902,2638.38,483.15,54.5,15.48,4.76,0
20161007:1002,3256.92,584.41,60.55,15.77,4.97,0
20161007:1102,3937.2,702.1,60.66,16.09,5.17,0
20161007:1202,4180.86,743.84,54.77,16.15,5.45,0
20161007:1302,4155.06,737.03,45.22,16.19,5.66,0
20161007:1402,3788.76,667.41,33.93,15.7,5.93,0
20161007:1502,3031.68,532.33,21.84,15.27,6.34,0
20161007:1602,180.24,46.16,9.44,14.71,6.48,0
20161007:1702,0,0,0,13.93,6.34,0
20161007:1802,0,0,0,13.35,6.28,0
20161007:1902,0,0,0,13.25,6.34,0
20161007:2002,0,0,0,13.22,6.21,0
20161007:2102,0,0,0,13.15,6.07,0
20161007:2202,0,0,0,13.05,5.72,0
20161007:2302,0,0,0,12.86,5.38,0
20161008:0002,0,0,0,12.76,5.17,0
20161008:0102,0,0,0,12.63,5.03,0
20161008:0202,0,0,0,12.18,4.97,0
20161008:0302,0,0,0,12.01,4.9,0
20161008:0402,0,0,0,11.92,4.76,0
20161008:0502,197.28,48.87,9.3,11.92,4.62,0
20161008:0602,449.88,94.13,21.71,12.95,5.1,0
20161008:0702,1300.62,241.51,33.83,13.7,4.48,0
20161008:0802,1655.94,300.78,45.19,14.14,4.83,0
20161008:0902,2556.96,455.98,54.86,13.65,5.72,0
20161008:1002,2899.74,514.07,60.94,13.98,5.93,0
20161008:1102,2279.58,406.6,61.02,14.57,5.86,0
20161008:1202,1081.92,202.44,55.05,14.63,5.79,0
20161008:1302,1128.78,210.01,45.44,14.37,6.21,0
20161008:1402,1072.68,199.77,34.11,13.73,6.69,0
20161008:1502,1665.06,297.18,21.99,13.47,6,0
20161008:1602,274.62,63.35,9.59,13.44,5.31,0
20161008:1702,0,0,0,13.09,4.48,0
20161008:1802,0,0,0,12.8,3.86,0
20161008:1902,0,0,0,12.73,3.24,0
20161008:2002,0,0,0,12.34,2.69,0
20161008:2102,0,0,0,11.31,2.28,0
20161008:2202,0,0,0,10.58,2.07,0
20161008:2302,0,0,0,9.92,1.86,0
20161009:0002,0,0,0,10.06,1.66,0
20161009:0102,0,0,0,10.71,1.24,0
20161009:0202,0,0,0,11.48,0.69,0
20161009:0302,0,0,0,11.23,0.69,0
20161009:0402,0,0,0,11.04,0.69,0
20161009:0502,117.42,33.49,9.57,10.89,0.76,0
20161009:0602,771,149.34,21.98,11.93,0.9,0
20161009:0702,649.98,170.74,34.11,13.18,1.66,0
20161009:0802,1684.26,339.1,45.51,14.15,0.97,0
20161009:0902,2653.62,495.64,55.21,15.22,0.76,0
20161009:1002,2597.58,480.88,61.33,15.99,0.62,0
20161009:1102,3598.5,662.54,61.38,16.7,1.79,0
20161009:1202,4134.9,754.67,55.33,17.11,2.83,0
20161009:1302,4185.96,755.84,45.66,17.12,3.79,0
20161009:1402,3815.64,682.82,34.28,16.45,3.93,0
20161009:1502,2976.78,529.44,22.15,15.87,4,0
20161009:1602,184.62,47.06,9.75,14.96,4.41,0
20161009:1702,0,0,0,13.9,3.66,0
20161009:1802,0,0,0,13.24,3.24,0
20161009:1902,0,0,0,13.17,3.38,0
20161009:2002,0,0,0,12.9,3.31,0
20161009:2102,0,0,0,12.65,3.24,0
20161009:2202,0,0,0,12.47,2.83,0
20161009:2302,0,0,0,12.17,2.34,0
20161010:0002,0,0,0,11.62,1.79,0
20161010:0102,0,0,0,10.86,1.79,0
20161010:0202,0,0,0,10.54,2,0
20161010:0302,0,0,0,10.76,2,0
20161010:0402,0,0,0,10.15,2.28,0
20161010:0502,168.96,43.44,9.83,10.96,2.34,0
20161010:0602,666.06,132.14,22.25,14.04,2.55,0
20161010:0702,1356.24,255.52,34.4,15.79,2.9,0
20161010:0802,1686.48,341.03,45.82,17.17,4.21,0
20161010:0902,2700.9,500.82,55.56,18.12,4.9,0
